status,url,slug_brand,slug_country,page_brand,page_country,title,h1,notes
OK,https://saigonhoreca.vn/san-pham/ban-mat-1-cua-2-ngan-keo-1-cua-rtdw187ms4-d2d-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 1 Cửa / 2 Ngăn Kéo / 1 Cửa RTDW187MS4-D2D - Hoshizaki,Bàn Mát 1 Cửa / 2 Ngăn Kéo / 1 Cửa RTDW187MS4-D2D &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-1-cua-2-ngan-keo-2-ngan-keo-rtdw187ms4-d22-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 1 Cửa / 2 Ngăn Kéo / 2 Ngăn Kéo RTDW187MS4-D22 - Hoshizaki,Bàn Mát 1 Cửa / 2 Ngăn Kéo / 2 Ngăn Kéo RTDW187MS4-D22 &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-1-cua-2-ngan-keo-rtdw137ms4-d2-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 1 Cửa / 2 Ngăn Kéo RTDW137MS4-D2 - Hoshizaki,Bàn Mát 1 Cửa / 2 Ngăn Kéo RTDW137MS4-D2 &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-1-cua-3-ngan-keo-1-cua-rtdw187ms4-d3d-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 1 Cửa / 3 Ngăn Kéo / 1 Cửa RTDW187MS4-D3D - Hoshizaki,Bàn Mát 1 Cửa / 3 Ngăn Kéo / 1 Cửa RTDW187MS4-D3D &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-1-cua-3-ngan-keo-3-ngan-keo-rtdw187ms4-d33-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 1 Cửa / 3 Ngăn Kéo / 3 Ngăn Kéo RTDW187MS4-D33 - Hoshizaki,Bàn Mát 1 Cửa / 3 Ngăn Kéo / 3 Ngăn Kéo RTDW187MS4-D33 &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-1-cua-3-ngan-keo-rtdw137ms4-d3-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 1 Cửa / 3 Ngăn Kéo RTDW137MS4-D3 - Hoshizaki,Bàn Mát 1 Cửa / 3 Ngăn Kéo RTDW137MS4-D3 &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-1-cua-kinh-rt-96ma-sg-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 1 Cửa Kính RT-96MA-SG - Hoshizaki,Bàn Mát 1 Cửa Kính RT-96MA-SG &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-1-cua-kinh-rtwh70ls4-gd-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 1 Cửa Kính RTWH70LS4-GD - Hoshizaki,Bàn Mát 1 Cửa Kính RTWH70LS4-GD &#8211; Hoshizaki,
SKIP,https://saigonhoreca.vn/san-pham/ban-mat-2-cua-fvrt1260-fujimak-japan/,,japan,,,,,no brand token in slug
SKIP,https://saigonhoreca.vn/san-pham/ban-mat-2-cua-fvrt1275-fujimak-japan/,,japan,,,,,no brand token in slug
